z_id,coupling_type,times,lats,lons,winds
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-09T12:00:00Z,44.2,152.4,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-09T18:00:00Z,45.1,156.0,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-10T00:00:00Z,46.0,159.2,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-10T06:00:00Z,46.7,163.5,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-10T12:00:00Z,46.7,167.4,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-10T18:00:00Z,47.0,171.9,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-11T00:00:00Z,47.2,177.1,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-25T06:00:00Z,18.8,134.4,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-25T12:00:00Z,20.0,133.4,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-25T18:00:00Z,21.4,132.6,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-26T00:00:00Z,23.0,131.7,18.00554
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-26T06:00:00Z,23.9,131.2,20.57776
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-26T12:00:00Z,25.0,131.7,25.7222
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-26T18:00:00Z,27.1,133.9,25.7222
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-27T00:00:00Z,29.3,136.0,28.29442
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-27T03:00:00Z,31.3,137.7,28.29442
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-27T06:00:00Z,33.4,139.6,28.29442
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-27T09:00:00Z,34.3,140.7,28.29442
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-27T12:00:00Z,35.6,142.2,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-27T18:00:00Z,38.2,146.2,0.0
